ISO-3166-2;ISO-3166-3;ccTLD
DZ;DZA;.dz
AO;AGO;.ao
SH;SHN;.sh
BJ;BEN;.bj
BW;BWA;.bw
BF;BFA;.bf
BI;BDI;.bi
CM;CMR;.cm
CV;CPV;.cv
CF;CAF;.cf
TD;TCD;.td
KM;COM;.km
CG;COG;.cg
DJ;DJI;.dj
EG;EGY;.eg
GQ;GNQ;.gq
ER;ERI;.er
ET;ETH;.et
GA;GAB;.ga
GM;GMB;.gm
GH;GHA;.gh
GW;GNB;.gw
GN;GIN;.gn
CI;CIV;.ci
KE;KEN;.ke
LS;LSO;.ls
LR;LBR;.lr
LY;LBY;.ly
MG;MDG;.mg
MW;MWI;.mw
ML;MLI;.ml
MR;MRT;.mr
MU;MUS;.mu
YT;MYT;.yt
MA;MAR;.ma
MZ;MOZ;.mz
NA;NAM;.na
NE;NER;.ne
NG;NGA;.ng
ST;STP;.st
RE;REU;.re
RW;RWA;.rw
ST;STP;.st
SN;SEN;.sn
SC;SYC;.sc
SL;SLE;.sl
SO;SOM;.so
ZA;ZAF;.za
SH;SHN;.sh
SD;SDN;.sd
SZ;SWZ;.sz
TZ;TZA;.tz
TG;TGO;.tg
TN;TUN;.tn
UG;UGA;.ug
CD;COD;.cd
ZM;ZMB;.zm
TZ;TZA;.tz
ZW;ZWE;.zw
SS;SSD;.ss
CD;COD;.cd
SZ;SWZ;.sz
