ISO-3166-2;ISO-3166-3;ccTLD
AF;AFG;.af
AM;ARM;.am
AZ;AZE;.az
BH;BHR;.bh
BD;BGD;.bd
BT;BTN;.bt
BN;BRN;.bn
KH;KHM;.kh
CN;CHN;.cn
CX;CXR;.cx
CC;CCK;.cc
IO;IOT;.io
GE;GEO;.ge
HK;HKG;.hk
IN;IND;.in
ID;IDN;.id
IR;IRN;.ir
IQ;IRQ;.iq
IL;ISR;.il
JP;JPN;.jp
JO;JOR;.jo
KZ;KAZ;.kz
KP;PRK;.kp
KR;KOR;.kr
KW;KWT;.kw
KG;KGZ;.kg
LA;LAO;.la
LB;LBN;.lb
MO;MAC;.mo
MY;MYS;.my
MV;MDV;.mv
MN;MNG;.mn
MM;MMR;.mm
NP;NPL;.np
OM;OMN;.om
PK;PAK;.pk
PH;PHL;.ph
QA;QAT;.qa
SA;SAU;.sa
SG;SGP;.sg
LK;LKA;.lk
SY;SYR;.sy
TW;TWN;.tw
TJ;TJK;.tj
TH;THA;.th
TR;TUR;.tr
TM;TKM;.tm
AE;ARE;.ae
UZ;UZB;.uz
VN;VNM;.vn
YE;YEM;.ye
PS;PSE;.ps
