ISO-3166-2;ISO-3166-3;ccTLD
AI;AIA;.ai
AG;ATG;.ag
AW;ABW;.aw
BS;BHS;.bs
BB;BRB;.bb
BZ;BLZ;.bz
BM;BMU;.bm
VG;VGB;.vg
CA;CAN;.ca
KY;CYM;.ky
CR;CRI;.cr
CU;CUB;.cu
CW;CUW;.cw
DM;DMA;.dm
DO;DOM;.do
SV;SLV;.sv
GL;GRL;.gl
GD;GRD;.gd
GP;GLP;.gp
GT;GTM;.gt
HT;HTI;.ht
HN;HND;.hn
JM;JAM;.jm
MQ;MTQ;.mq
MX;MEX;.mx
PM;SPM;.pm
MS;MSR;.ms
CW;ANT;.an
KN;KNA;.kn
NI;NIC;.ni
PA;PAN;.pa
PR;PRI;.pr
KN;KNA;.kn
LC;LCA;.lc
PM;SPM;.pm
VC;VCT;.vc
TT;TTO;.tt
TC;TCA;.tc
VI;VIR;.vi
US;USA;.us
SX;SXM;.sx
BQ;BES;.an
BQ;BES;.an
BQ;BES;.an
